i m not a scientist .,je ne suis pas scientifique .
you re first .,vous etes en premier .
you are gorgeous .,vous etes splendide .
they re in trouble .,ils ont des ennuis .
i m concentrating .,je suis en cours de concentration .
she is indeed a lovely girl .,c est vraiment une fille adorable .
you re shivering .,tu frissonnes .
i m going to college .,je vais a l universite .
i m giving it back .,je le rends .
i am not certain about that .,je n en suis pas sur .
i m dead tired .,je suis mort de fatigue .
i m not your father .,je ne suis pas ton pere .
he s always dissatisfied .,il est constamment insatisfait .
you re very rude .,tu es fort grossier .
they are in class .,ils sont en classe .
i am a foreigner .,je suis etranger .
you re wonderful .,vous etes merveilleuse .
you re a true friend .,tu es une veritable amie .
you re feeling very sleepy aren t you ?,tu as tres sommeil non ?
you re not the only woman here .,tu n es pas l unique femme ici .
you re very religious aren t you ?,vous etes tres religieuses n est ce pas ?
you re such an idiot !,quel idiot tu es !
he s ruthless .,il est sans pitie .
i m already married .,je suis deja marie .
you re the teacher .,tu es l instituteur .
he is italian by birth .,il est italien de naissance .
you re very generous .,vous etes tres genereux .
you re a prisoner .,tu es un prisonnier .
you re really gorgeous .,vous etes vraiment magnifique .
we re changing it .,nous sommes en train de le changer .
we are doomed .,nous sommes condamnes .
he is an army officer .,il est officier de l armee .
i m much younger than you .,je suis bien plus jeune que vous .
you re good .,vous etes bon .
i m not a professional .,je ne suis pas un professionnel .
she is mad at you .,elle est en colere apres vous .
you are important .,vous etes importantes .
he is sure to succeed .,il est sur de son succes .
i m afraid i have no experience .,je crains de ne pas avoir d experience .
i am watering the flowers .,je suis en train d arroser les fleurs .
he s a cold hearted jerk .,c est un pauvre type sans c ur .
you re the one who trained me .,tu es celui qui m a entrainee .
they re out to get you .,elles sont a vos trousses .
we re all agreed on that .,nous en sommes toutes d accord .
you are not supposed to smoke here .,vous n etes pas censee fumer ici .
i m going to save more money .,je vais epargner plus d argent .
we re here alone .,nous sommes ici seuls .
you re incredibly talented .,vous etes incroyablement talentueux .
they re thirty dollars each .,elles sont a trente dollars chacune .
they re looking for you .,ils te cherchent .
she is weak by nature .,elle est d une nature faible .
i am in the classroom .,je suis en salle de classe .
you are in part responsible for it .,vous en etes en partie responsables .
i m here every night .,je suis ici tous les soirs .
they are my friends .,ce sont mes amis .
she s a sweet girl .,c est une gentille fille .
you are morons .,vous etes des cretins .
i m glad you re coming .,je suis heureux que vous veniez .
you aren t supposed to swim here .,tu n es pas cense nager ici .
she is a typist .,elle est dactylo .
she s an intelligent young woman .,c est une jeune fille intelligente .
i m grounded .,je suis cloue .
i m contagious .,je suis contagieux .
you re a traitor .,vous etes un traitre .
he is rather hard to please .,il est plutot difficile a contenter .
we re protecting you .,nous vous protegeons .
i m too tired to go out jogging .,je suis trop fatigue pour sortir courir .
i m sorry to bother you so often .,je suis desolee de vous ennuyer si souvent .
you re so impatient .,vous etes tellement impatient .
i m going to go out this afternoon .,je vais sortir cet apres midi .
i m just an average girl .,je suis juste une fille normale .
you re out of excuses .,tu n as plus d excuses .
he s self employed .,il est independant .
he is tall and handsome .,il est a la fois grand et beau .
i m writing a letter .,j ecris une lettre .
you re trustworthy .,tu es fiable .
i m not complaining .,je ne me plains pas .
i m completely exhausted .,je suis completement epuise .
i m watching a movie .,je regarde un film .
you re very clever .,vous etes fort habiles .
i m sorry i hurt you .,je suis desole de t avoir blesse .
i m not on duty today .,je ne suis pas en service aujourd hui .
i m going to reconsider it .,je vais y repenser encore une fois .
i m not good at negotiating .,je ne suis pas doue pour negocier .
you re alone aren t you ?,vous etes seule n est ce pas ?
you re fashionable .,tu es branche .
you re very efficient .,vous etes tres efficace .
you re very observant .,vous etes tres observateurs .
he s a man of his word .,c est un homme de parole .
i m afraid of nothing .,je n ai peur de rien .
i m patient .,je suis patiente .
you re not fit .,tu ne conviens pas .
he is sadly mistaken .,il se trompe completement .
he is planning to develop his business .,il prevoit de developper son affaire .
i m looking for work .,je cherche du travail .
she is almost as tall as you .,elle est presque aussi grande que toi .
they are running in the park .,elles courent dans le parc .
he s my best friend .,il est mon meilleur ami .
he is careful about his manners .,il fait attention a ses manieres .
we re almost ready .,nous sommes presque prets .
he s an outlaw .,c est un hors la loi .
she s a very nice girl .,c est une fille tres chouette .
we are faced with a host of problems .,nous sommes confrontes a un tas de problemes .
she s very pretty .,elle est tres belle .
i m not sleeping well .,je ne dors pas bien .
she s very emotional .,elle est tres emotive .
you re not going to believe this .,tu ne vas pas le croire .
we re students .,nous sommes etudiants .
i m drinking water .,je bois de l eau .
i m not going to lie .,je ne vais pas mentir .
i m late for practice .,je suis en retard pour l entrainement .
you re the pro .,c est vous le professionnel .
i m saving money for a car .,j epargne pour une voiture .
we re obedient .,nous sommes obeissants .
i m not lonely .,je ne me sens pas seul .
they re not all busy .,elles ne sont pas toutes occupees .
you re still young .,vous etes encore jeunes .
i m glad you re early .,je suis content que tu sois en avance .
i m powerless .,je suis desarme .
i m just a normal guy .,je suis juste un type normal .
you re making a terrible mistake .,tu fais une grave erreur .
you re very efficient .,vous etes fort efficaces .
i m terrible at chess .,je suis mauvais aux echecs .
you re disappointed aren t you ?,vous etes decue n est ce pas ?
he is a living fossil !,c est un fossile vivant !
they are about to start .,elles sont sur le point de commencer .
i m not making that up .,je ne l invente pas .
we re on schedule .,nous sommes dans les temps .
i m looking forward to seeing you dance .,je suis impatiente de te voir danser .
we re not proud of it .,nous n en sommes pas fiers .
i am accustomed to cold weather .,je suis accoutume au temps froid .
i am sure of her success .,je suis sur de son succes .
i m gathering information .,je rassemble des informations .
i m going to see her tomorrow .,j irai la voir demain .
i m vegetarian .,je suis vegetarienne .
we are on the way home .,nous sommes sur le chemin de la maison .
they re playing chess .,ils jouent aux echecs .
i m fed up with this weather .,j en ai marre de ce temps .
you re very tall .,vous etes tres grands .
i m not patient .,je ne suis pas patient .
she s lost her car keys .,elle a perdu ses cles de voiture .
i m sorry i m so stupid .,desole d etre si stupide .
i m swamped with work .,je suis submerge de travail .
i m going shopping tomorrow .,je vais demain faire des emplettes .
he is not what he was .,il n est plus ce qu il etait .
you re very understanding .,tu es fort comprehensif .
you re my enemy .,vous etes mon ennemi .
she is a beginner .,elle est novice .
i am an electrician .,je suis electricien .
you re very helpful .,vous etes tres serviables .
he is a novelist and poet .,il est ecrivain et poete .
they are exhausted .,elles sont crevees .
they re free .,ils sont libres .
we re dancing .,nous sommes en train de danser .
i m about to go out .,je vais sortir .
she s a soccer champion .,elle est une championne de football .
you re going to laugh .,tu vas rire .
i am brushing my teeth .,je me brosse les dents .
you re so paranoid .,tu es tellement paranoiaque !
he is not wearing a hat .,il ne porte pas de chapeau .
you re very astute .,tu es tres astucieuse .
they re all the same .,elles sont toutes les memes .
i m studying english .,j etudie l anglais .
she is friendly to everybody .,elle est amicale avec tout le monde .
you re safe .,vous etes sauve .
you re very brave .,vous etes fort braves .
we re confident .,nous avons confiance .
i m going to go get some food .,je vais aller chercher a manger .
she is capable of anything .,elle est capable de tout .
you re very intelligent .,tu es tres intelligent .
i m allowing you to go .,je t autorise a y aller .
i m a very lucky man .,je suis un homme tres chanceux .
you re the one who planted that tree .,vous etes celle qui a plante cet arbre .
you re joking of course .,tu plaisantes bien sur .
i m sorry if i frightened you .,je suis desolee si je t ai effrayee .
we re not going to make it .,nous n allons pas y arriver .
he s a nerd .,c est un binoclard .
i m thorough .,je suis minutieuse .
we re going east .,nous nous dirigeons vers l est .
i m rarely this angry .,je suis rarement autant en colere .
you re the teacher .,c est vous l enseignant .
i m stunned .,je suis sidere .
they re dead .,elles sont decedees .
i m plastered .,je suis bourre .
i m not a liar .,je ne suis pas un menteur .
we are looking forward to seeing you again .,nous nous rejouissons de vous revoir .
you re very observant .,tu es tres observateur .
they re alive .,ils sont en vie .
i m not eating this .,je ne mange pas ca .
i m really busy right now .,je suis vraiment occupe a l instant .
i am going to bed .,je vais dormir .
he s too old for me .,il est trop vieux pour moi .
you re just a boy .,tu n es qu un enfant .
you re skinny .,vous etes maigrichons .
you re always criticizing me !,vous me critiquez sans cesse !
i m happy you liked it .,je suis heureuse que tu l aies aime .
you re not that old .,vous n etes pas si vieille .
he s in big trouble .,il a de gros problemes .
they re acting on their own .,ils agissent de leur propre chef .
he is still alive .,il est encore vivant .
he s not at all afraid of snakes .,il ne craint pas du tout les serpents .
i am out of time .,je suis a court de temps .
you are twice as strong as me .,tu es deux fois plus fort que moi .
i m sure everything will be fine .,je suis sure que tout ira bien .
you are welcome to do anything you like .,fais ce qu il te plait .
he is reading .,il lit .
he s demented .,il est fou .
i am right for once .,pour une fois j ai raison .
we re not open .,nous ne sommes pas ouverts .
we re here .,nous sommes ici .
they re going to the war .,ils vont a la guerre .
you re scaring me .,tu me fais peur .
you re very stylish .,tu es fort elegante .
i m actually kind of flattered .,je suis en fait plutot flattee .
he s addicted to heroin .,il est accro a l heroine .
you re very talented .,tu es pleine de talent .
i m going to figure this out .,je vais reflechir a ca .
she is making dinner .,elle prepare le diner .
we are free from danger .,nous sommes hors de danger .
i m attracted to him .,je suis attiree par lui .
i m contented .,me voila satisfait .
she s not a bad girl .,ce n est pas une mauvaise fille .
they are afraid of death .,ils ont peur de la mort .
you re very sophisticated .,vous etes tres raffinees .
i am very happy with it .,ca me plait beaucoup .
i m sick of hearing it .,j en ai assez de l entendre .
i am a teacher .,je suis professeur .
he s a nonsmoker .,il est non fumeur .
they re going to make mistakes .,ils vont commettre des erreurs .
you re not helping me .,tu ne m aides pas .
i am diabetic .,je suis diabetique .
i m an actress not a model .,je suis une actrice pas un mannequin .
you re annoying me .,tu m enerves .
i m feeling stressed .,je me sens stresse .
i m in the mood to talk now .,je suis maintenant disposee a discuter .
i m almost as tall as tom .,je suis presque aussi grand que tom .
they re very busy .,ils sont tres occupes .
she s an only child .,elle est fille unique .
i am no longer tired .,je ne suis plus fatiguee .
we re conscientious .,nous sommes consciencieuses .
we aren t always right .,nous n avons pas toujours raison .
you re observant .,tu as le sens de l observation .
we re going to search the whole ship .,nous allons fouiller la totalite du bateau .
you re not as smart as me .,vous n etes pas aussi malin que moi .
i m confused enough as it is .,je suis assez embrouille comme ca .
i m very grateful for your help .,je suis tres reconnaissant pour votre aide .
he s studying .,il est en train d etudier .
you re trustworthy .,vous etes fiables .
we re almost there .,nous y sommes bientot .
i m very proud of my son .,je suis tres fier de mon fils .
you re under investigation .,tu fais l objet d une enquete .
he s afraid of dogs .,il a peur des chiens .
he is not ashamed of being poor .,il n a pas honte d etre pauvre .
i m flabbergasted .,je suis sidere .
i m broke and tired .,je suis lessive et fatigue .
you re cooperating .,vous cooperez .
i m living with my mom now .,je vis avec ma maman maintenant .
you are so childish sometimes .,tu es parfois si puerile .
they are not sisters .,elles ne sont pas s urs .
we re going to discuss the problem tomorrow .,nous discuterons du probleme demain .
they re not my friends .,ce ne sont pas mes amis .
i m catching on .,je comprends .
you re big .,vous etes grand .
he is a learned man .,c est un homme cultive .
you re not alone anymore .,vous n etes plus seul .
i am almost ready .,je suis quasiment prete .
we re done here .,nous en avons fini ici .
we re pretty tight .,notre horaire est assez serre .
i m not going to eat this .,je ne vais pas manger ceci .
i m going to take my car .,je vais prendre mon char .
she is going to learn how to drive .,elle va apprendre a conduire .
i m all alone .,je suis tout seul .
she s smarter than him .,elle est plus maligne que lui .
we re not going out .,nous n allons pas sortir .
you re sick !,tu es malade !
i m smarter than you .,je suis plus intelligent que toi .
they re all tourists .,ce sont toutes des touristes .
you re disloyal .,vous etes deloyales .
he is to come to my house tonight .,il va venir chez moi ce soir .
he s an italian teacher .,il est professeur d italien .
i am free from care .,je ne m en fais pas .
i m too tired to think .,je suis trop fatigue pour penser .
i m glad to be here .,je suis content d etre la .
you re very nice .,vous etes tres gentil .
i m not here to fight .,je ne suis pas la pour me battre .
i am going to sleep .,je vais dormir .
you re fun .,t es marrant .
he is tall and lean .,il est grand et maigre .
you are so cute .,comme tu es mignonne .
i m eating lunch .,je dejeune .
you re very astute .,tu es fort astucieux .
you re assertive .,tu sais te faire comprendre .
you re all against me .,vous etes toutes contre moi .
i am up to my neck in work .,j ai du travail par dessus la tete .
you re very rude .,vous etes tres grossiers .
you re not dressed .,vous n etes pas habillee .
i m fascinated by cats .,je suis fascinee par les chats .
i m glad you brought that up .,je suis ravie que tu aies souleve ca .
i m begging you .,je t en supplie .
i m not available .,je ne suis pas disponible .
i am dying for a cold drink .,je creve d envie d une boisson fraiche .
she is on a diet .,elle est au regime .
i m a night owl .,je suis un oiseau de nuit .
you re my kid s teacher .,tu es le prof de mon gamin .
you re being silly .,tu es idiot .
i m sorry but it s impossible .,je suis desole mais c est impossible .
you re fascinating .,vous etes fascinant .
i m using that cup .,je fais usage de cette tasse .
i m not a fan .,je ne fais pas partie de ses admirateurs .
she s too old for you .,elle est trop agee pour toi .
you are not japanese .,vous n etes pas japonaise .
they re right behind you .,ils se trouvent juste derriere vous .
i am ready to do anything for you .,je suis prete a tout faire pour vous .
you re very sophisticated .,vous etes tres raffine .
we re not getting any younger .,on ne rajeunit pas .
i m retired too .,je suis egalement a la pension .
he is facing many difficulties .,il est confronte a de nombreuses difficultes .
i m not your enemy .,je ne suis pas votre ennemie .
i m retired too .,je suis egalement a la retraite .
i m really proud of it .,j en suis vraiment fier .
i m all ears .,je suis tout ouie .
i m glad you realize that .,je me rejouis que vous en preniez conscience .
they re not criminals .,ce ne sont pas des criminels .
i am better than you .,je suis meilleur que toi .
i am seeing mary this afternoon .,je vois mary cette apres midi .
i m glad that makes you happy .,je suis contente que ca vous rende heureuse .
you re very wise .,tu es tres avise .
he s ruthless .,il est impitoyable .
we are the new owners .,nous sommes les nouveaux proprietaires .
i m back .,me revoila .
you re the boss .,vous etes le chef .
i m not that type of guy .,je ne suis pas ce genre de gars .
we re committed .,nous sommes engages .
you re new here aren t you ?,vous etes nouvelle ici n est ce pas ?
you re not looking at the whole picture .,vous ne regardez pas l ensemble du tableau .
she s a single mother .,elle est mere celibataire .
we re ruthless .,nous sommes impitoyables .
i m just as confused as you are .,je suis aussi perplexe que tu l es .
they are approaching .,elles approchent .
they re cold .,elles sont froides .
i m blind .,je suis aveugle .
i m forgetful .,je suis etourdi .
i am lazy .,je suis faineant .
you re forgiven .,tu es excuse .
he s very fond of walking .,il adore marcher .
i m baking !,je cuis !
you re famous .,vous etes connus .
you re spoiling the mood .,vous gachez l atmosphere .
he is by far the best student .,il est de loin le meilleur eleve .
i m looking forward to the party .,j attends la fete avec impatience .
she s always grumbling .,elle rale tout le temps .
you re lucky that you have a job .,vous etes chanceux d avoir un travail .
you re missing the point .,vous ne saisissez pas .
i m taking care of it .,je m en occupe .
he s attracted to black women .,il est attire par les femmes noires .
we re not young .,nous ne sommes pas jeunes .
i m very sad to hear that .,je suis tres triste d entendre cela .
i m inviting you .,je vous invite .
they re all dead .,elles sont toutes decedees .
you re double parked .,vous etes garees en double file .
we re stunned .,nous sommes sideres .
i m by your side .,je suis a tes cotes .
we re working to fix this bug .,nous travaillons a corriger ce bug .
i m happy with it .,je m en contente .
i m going to protect you tom .,je vais vous proteger tom .
i m doing pretty well .,je vais assez bien .
i am sure that he will succeed .,je suis sur qu il reussira .
you are beautiful .,vous etes beaux .
i am amazed at your audacity .,je suis etonne par ton audace .
i m at the restaurant .,je suis au restaurant .
he is busy with his work .,il est occupe avec son travail .
i am going to be fourteen .,je vais avoir quatorze ans .
i m on my way to work .,je suis sur le chemin du travail .
you re totally ignorant .,tu es completement ignorant .
he s just trying to be popular .,il tente juste d acquerir de la renommee .
he is on the team .,il fait partie de l equipe .
i m not sure why .,je ne suis pas sur de la raison .
he s looking good .,il a l air bien .
we re almost ready .,nous sommes presque pretes .
you are not japanese .,tu n es pas japonaise .
i m not asking for money .,je ne demande pas d argent .
you re such an idiot !,tu es tellement idiot !
i m taking care of my grandfather,je m occupe de mon grand pere .
he s a very nice boy .,c est un garcon tres chouette .
you re very stylish .,tu es tres elegante .
i m proud of myself .,je suis fier de moi .
you re too polite .,tu es trop polie .
you re the one who trained me .,c est toi qui m as entraine .
we re in luck .,nous sommes veinardes .
she is about my age .,elle a environ mon age .
i m not sleepy .,je ne suis pas endormi .
i m always forgetting people s names .,j oublie toujours le nom des gens .
she is absorbed in her study .,elle est absorbee par son travail d etude .
we re shocked .,nous sommes choques .
we re on our own .,nous sommes seuls .
she is learning how to drive a car .,elle apprend a conduire une voiture .
i m not a psychic .,je ne suis pas devin .
he is very eager to go there .,il est tres impatient de s y rendre .
i am happy to hear your voice .,je me rejouis d entendre votre voix .
they re bad .,elles sont mauvaises .
you re too skinny .,vous etes trop maigrichonne .
we re not desperate yet .,nous ne sommes pas encore desesperees .
he s too old for her .,il est trop vieux pour elle .
you re not dressed .,tu n es pas habillee .
i m sorry if i frightened you .,je suis desolee si je t ai effraye .
i m a stranger here .,je suis un etranger ici .
i m losing weight .,je maigris .
i m getting hungry .,je commence a avoir faim .
they re not a threat .,elles ne constituent pas une menace .
you re really awesome .,vous etes vraiment genial .
we re stubborn .,nous sommes tetues .
you re too skinny .,vous etes trop maigre .
she s always grumbling .,elle n arrete pas de raler .
she is fond of cake .,elle adore les gateaux .
she s by far the tallest girl .,elle est de loin la plus grande fille .
they re looking for you .,elles vous cherchent .
i m very proud of our students .,je suis tres fier de nos etudiants .
you re unambitious .,vous etes depourvue d ambition .
i m a university student .,je suis etudiant a l universite .
i m at the airport right now .,je me trouve actuellement a l aeroport .
he is in trouble .,il a des ennuis .
you re not tired are you ?,tu n es pas fatigue si ?
you re free to go .,t es libre d y aller .
you re sneaky .,vous etes sournoises .
you re the one who trained me .,tu es celle qui m a entrainee .
i am engaged in aids research .,je travaille dans la recherche contre le sida .
you re very emotional .,tu es fort emotif .
i am ashamed of your conduct .,j ai honte de votre conduite .
i m sure i turned off the gas .,je suis certain d avoir ferme le gaz .
i m suspicious of everybody .,tout le monde est a mes yeux suspect .
i am out of work .,je suis sans travail .
you re not thinking clearly .,tu ne penses pas clairement .
you re very wise .,tu es tres sage .
he s now on the boat .,il est maintenant sur le bateau .
they re cute .,ils sont mignons .
you are always watching tv .,vous regardez tout le temps la television .
she s strong willed .,elle a une forte volonte .
i m a fan of german opera .,je suis une inconditionnelle de l opera allemand .
you re considerate .,tu es prevenant .
he is afraid of father .,il a peur de pere .
we re in college .,nous sommes a la fac .
you re sick !,vous etes malade !
i m faithful to my wife .,je suis fidele envers ma femme .
you re not very tidy .,vous n etes pas tres ordonne .
you re surrounded .,vous etes cernes .
i m serious about my job .,je prends mon travail au serieux .
i m not young anymore .,je ne suis plus tout jeune .
i m smarter than you .,je suis plus intelligent que vous .
i m letting you go .,je te libere .
you re rich .,vous etes riches .
i m not dangerous .,je ne suis pas dangereux .
i m still waiting for your answer .,j attends toujours votre reponse .
we re untalented .,nous sommes depourvues de talent .
we re in charge .,nous sommes en charge .
they re done .,elles ont termine .
you are now an adult .,tu es desormais un adulte .
we re too busy .,nous sommes trop occupes .
they re spies .,ce sont des espionnes .
i m cold .,j ai froid .
he s extremely happy .,il est extremement heureux .
you re lazy .,tu es paresseux .
they re young and healthy .,elles sont jeunes et en bonne sante .
he s not sick .,il n est pas malade .
he s too drunk .,il est trop ivre .
you re the best .,vous etes le meilleur .
i m not a saint .,je ne suis pas une sainte .
you re sitting in my chair .,tu es assise sur ma chaise .
they re speaking french .,ils parlent en francais .
you re very understanding .,tu es fort comprehensive .
i m very worried about you .,je suis tres inquiet a votre sujet .
they re dying .,ils sont en train de mourir .
he s coming closer .,il se rapproche .
we re armed .,nous sommes armees .
we re going to eat right now .,nous allons manger maintenant .
you re wrong in this case .,tu as tort dans ce cas .
we re going to freeze to death .,nous allons mourir de froid .
you re the oldest .,tu es la doyenne .
i m going to be on tv .,je vais passer a la television .
you re too slow .,tu es trop lente .
i m responsible for tom s safety .,je suis responsable de la securite de tom .
i m finished .,j ai termine .
i m resilient .,je suis tenace .
he is accustomed to speaking in public .,il est habitue a parler en public .
you re the oldest .,vous etes le doyen .
we re leaving tonight .,nous partons ce soir .
you re my enemy .,tu es mon ennemi .
you re the oldest .,tu es l aine .
you re nice .,vous etes sympa .
you re free of all responsibility .,vous etes liberee de toute responsabilite .
you re funny .,vous etes marrantes .
he is anything but a gentleman .,c est loin d etre un gentleman .
they are my friends .,elles sont mes amies .
i am going to a concert next week .,je vais a un concert la semaine prochaine .
you re driving too fast .,vous conduisez trop vite .
i m ashamed because i acted foolishly .,j ai honte car j ai agi stupidement .
we re not soldiers .,nous ne sommes pas soldats .
i m delighted to be here .,je suis enchante d etre ici .
you re all mad .,vous etes tous fous .
i m sorry i don t recognize you .,je suis desolee je ne vous remets pas .
he is seeking a new position .,il cherche actuellement un nouveau poste .
i m really old .,je suis vraiment vieux .
i m very glad to see you again .,je suis tres content de vous revoir .
you re pathetic .,vous etes pathetiques .
we re weak .,nous sommes faibles .
you re arrogant .,tu es arrogant .
we re newcomers .,nous sommes des nouvelles venues .
i m not feeling particularly hungry .,je ne ressens pas particulierement la faim .
you re amusing .,tu me fais marrer .
i m a little drunk .,je suis un peu bourree .
i m very fat .,je suis tres gras .
he s behaving oddly .,il se comporte etrangement .
she is trying to lose weight .,elle essaie de perdre du poids .
we re very grateful .,nous sommes tres reconnaissants .
he is swimming in the pool .,il nage dans la piscine .
i am interested in chess these days .,je m interesse actuellement aux echecs .
they re up to no good .,ils ne mijotent rien de bon .
he s not young anymore .,il n est plus tout jeune .
i m years old .,j ai ans .
we re taking over .,nous prenons le controle .
he is confident of his ability .,il est confiant dans ses capacites .
you re talkative .,tu es bavarde .
you re foolish .,vous etes imprudente .
we are to eat at six .,nous mangerons a heures .
you re the one who trained me .,vous etes celui qui m a entraine .
you re all i ve got .,vous etes tout ce que j ai .
i am in london .,je suis a londres .
we re having a blast .,nous subissons une rafale de vent .
i m still your friend .,je suis toujours votre amie .
we re not responsible .,nous ne sommes pas responsables .
she is used to sitting .,elle est habituee a se tenir assise .
i m pleased with their performance .,je suis satisfait de leur performance .
i am sorry .,je suis desole .
she s open minded .,elle a l esprit ouvert .
you re clever .,tu es malin .
i m done listening to you .,j en ai fini de t ecouter .
you re very brave .,vous etes tres courageux .
you re taller than i am .,vous etes plus grand que moi .
she is singing the latest popular songs .,elle chante les derniers tubes .
he is here !,il est ici !
i m just curious .,je suis juste curieuse .
i m not in good shape .,je ne suis pas en forme .
you re free to leave now .,tu est libre de partir maintenant .
i am very interested in music .,je suis tres interesse par la musique .
you re carrying this too far .,vous faites aller ca trop loin .
he is looked up to as their leader .,il est considere comme leur chef .
he is fond of swimming .,il aime la natation .
i m not good enough for you .,je ne suis pas assez bonne pour vous .
she is being blackmailed by him .,il exerce sur elle du chantage .
you re very funny .,vous etes tres droles .
we re happy .,nous sommes heureux .
i am exhausted .,je suis vannee .
i m a normal guy .,je suis un gars normal .
i m untalented .,je n ai pas de talent .
we re going to give it another try .,nous allons essayer a nouveau .
he s walking around in his underwear .,il se promene en sous vetements .
they re tired .,ils sont fatigues .
i m from the east coast .,je suis de la cote est .
we re losing .,nous sommes en train de perdre .
we re not cowards .,nous ne sommes pas des laches .
you re elusive .,vous etes insaisissable .
i m not a doctor but a teacher .,je ne suis pas medecin mais enseignant .
you re overemotional .,vous vous laissez trop dominer par vos emotions .
we re out of stock .,nous n en avons plus en stock .
you re getting closer .,tu t approches .
we re armed .,nous sommes armes .
you re early .,tu es matinale .
you re finicky .,vous etes tatillonne .
you re going to win today .,tu vas gagner aujourd hui .
i m fasting .,je suis a la diete .
you re never too old to learn .,on n est jamais trop vieux pour apprendre .
we re not late .,nous ne sommes pas en retard .
he s crying .,il est en train de pleurer .
she is in an awful mood .,elle est d une humeur massacrante .
you re very clever .,vous etes fort ingenieuse .
we re still involved .,nous sommes toujours engages .
he is not married .,il n est pas marie .
i am living with my uncle .,j habite avec mon oncle .
i am shorter than you .,je suis plus petit que toi .
he s faking .,il simule .
i m feeling much better today .,je me sens beaucoup mieux aujourd hui .
they re doing it right .,elles le font correctement .
i m sure i turned off the gas .,je suis sur d avoir ferme le gaz .
you re grumpy .,vous etes grognon .
you re so sweet .,vous etes tellement gentilles !
we re about the same age .,nous sommes a peu pres du meme age .
i m not going to pass out .,je ne vais pas m evanouir .
he s attracted to asian girls .,il est attire par les filles asiatiques .
you re clever .,tu es maline .
i m proud of you all .,je suis fiere de vous toutes .
they re doctors .,elles sont medecins .
i m going to drive myself .,je vais conduire par mes propres moyens .
he s out of town .,il ne se trouve pas en ville .
you re greedy .,vous etes avides .
you are my hero .,tu es mon heroine .
we re in the same boat .,nous sommes dans le meme bateau .
you re still green .,vous etes encore inexperimente .
i m no friend of yours .,je ne suis pas ton ami .
you re comparing apples and oranges !,tu compares des choux et des carottes !
i m going to build a fire .,je vais faire un feu .
i am too tired to walk any more .,je suis trop fatigue pour marcher davantage .
i m taking it seriously .,je prends cela serieusement .
he is preparing for the test .,il se prepare pour le test .
i m getting tired of losing .,perdre me fatigue .
you re good with kids .,vous etes bon avec les enfants .
you are so childish sometimes .,vous etes parfois si pueriles .
i m not blaming you .,je ne vous blame pas .
i m happy you liked it .,je suis heureux que tu l aies aime .
you re not fit .,vous n etes pas en forme .
i m considering resigning .,je songe a demissionner .
you re doing it wrong !,tu le fais de travers !
we re safe here .,nous sommes en securite ici .
he s not my cousin .,ce n est pas mon cousin .
i m sorry i yelled at you .,je suis desole de t avoir crie apres .
i m looking forward to it .,j attends cela avec impatience .
i m sure tom had his reasons .,je suis sure que tom avait ses raisons .
we re not really friends anymore .,nous ne sommes plus vraiment amies .
you re creepy .,vous etes sinistre .
i m in absolutely total agreement .,je suis totalement d accord .
you are imagining things .,ce sont des idees que tu te fais .
he s running for congress .,il est candidat au congres .
i m looking for a job .,je cherche du travail .
i m loved by my parents .,mes parents m adorent .
we re not looking .,nous sommes pas en train de regarder .
i m so proud of you .,je suis tellement fiere de vous .
i m looking for an old man .,je cherche un vieil homme .
they are five in all .,ils sont cinq en tout .
you re creative .,vous etes creative .
i m tired of everything .,je suis fatigue de tout .
they re going to try .,elles vont le tenter .
he is poor but happy .,il est pauvre mais heureux .
you re joking !,vous plaisantez !
i m at a loss for words .,je ne trouve pas les mots .
they are approaching .,ils approchent .
she s much better today than yesterday .,aujourd hui elle va beaucoup mieux qu hier .
i m assuming this is your father .,je suppose que c est votre pere .
he s a food critic .,c est un critique gastronomique .
i m ok .,je vais bien .
you re very forward .,vous etes fort effronte .
i m contagious .,je suis contagieuse .
i m a free man .,je suis un homme libre .
i m just glad everything worked out .,tout est bien qui finit bien .
i m not safe in here .,je ne suis pas en securite la dedans .
you are the one .,vous etes l elue .
she s not a child .,ce n est pas une enfant .
i m still thirsty .,j ai encore soif .
i m not your enemy .,je ne suis pas ton ennemi .
i m a busy person .,je suis une personne occupee .
you re too loud .,vous etes trop bruyant .
you aren t as short as i am .,tu n es pas aussi petite que moi .
you re very curious .,tu es fort curieux .
i m lucky .,j ai du pot .
i m not bitter .,je ne suis pas amer .
you re incredible .,tu es incroyable .
you are responsible for what you do .,tu es responsable de ce que tu fais .
he is a heroin addict .,il est heroino dependant .
i m lucky .,je suis veinarde .
he is about my age .,il a environ mon age .
i am trying to learn english .,j essaye d apprendre l anglais .
i m really proud of this .,j en suis vraiment fier .
they re all the same .,ils sont tous les memes .
you re wanted on the telephone .,on vous demande au telephone .
you re old .,tu es vieille .
she is mad at me .,elle est en colere contre moi .
i am looking for a jewelry store .,je cherche une bijouterie .
you re three hours late .,tu as trois heures de retard .
we re all safe .,nous sommes tous en securite .
i m sorry i yelled at you .,je suis desolee de t avoir hurle dessus .
i m glad you liked it .,je suis heureux que tu l aies aime .
i m sorry i missed your birthday .,je suis desole d avoir rate votre anniversaire .
i am in charge here .,c est moi le patron ici .
i m still sleepy .,je suis encore endormi .
she is nothing but a child .,ce n est rien qu une enfant .
